before {'accuracy': 0.044921875, 'correct_probability': 0.09788074158132076}
{'step': 1, 'reward': 0.138671875, 'group_hit': 0.875, 'pg': 0.004423690028488636, 'kl': 0.0, 'kl_ema': 0.0, 'kl_beta': 0.09512294245007141, 'grad_norm': 0.623779296875}
{'step': 520, 'reward': 0.123046875, 'group_hit': 0.90625, 'pg': -0.0052040014415979385, 'kl': 0.02701679989695549, 'kl_ema': 0.03944111862452845, 'kl_beta': 0.09391883130160783, 'grad_norm': 0.5918375849723816}
{'step': 525, 'reward': 0.12109375, 'group_hit': 0.84375, 'pg': -0.004669646732509136, 'kl': 0.04709165543317795, 'kl_ema': 0.03942376037191194, 'kl_beta': 0.09336368709519859, 'grad_norm': 0.6757393479347229}
{'step': 530, 'reward': 0.125, 'group_hit': 0.90625, 'pg': -0.013398049399256706, 'kl': 0.05477428436279297, 'kl_ema': 0.03990639817016224, 'kl_beta': 0.09247814721911533, 'grad_norm': 0.6205897331237793}
{'step': 535, 'reward': 0.14453125, 'group_hit': 0.78125, 'pg': -0.025999391451478004, 'kl': 0.03307419642806053, 'kl_ema': 0.03954727113081869, 'kl_beta': 0.09253396300695017, 'grad_norm': 0.8771765828132629}
{'step': 540, 'reward': 0.107421875, 'group_hit': 0.71875, 'pg': -0.013389809057116508, 'kl': 0.0580427460372448, 'kl_ema': 0.04365888807483309, 'kl_beta': 0.09360336225196791, 'grad_norm': 0.6344642639160156}
{'step': 545, 'reward': 0.12109375, 'group_hit': 0.84375, 'pg': -0.011936377733945847, 'kl': 0.07012400031089783, 'kl_ema': 0.047759329045651056, 'kl_beta': 0.09756890253541693, 'grad_norm': 0.6246203184127808}
{'step': 550, 'reward': 0.12109375, 'group_hit': 0.90625, 'pg': -0.015549743548035622, 'kl': 0.03355984389781952, 'kl_ema': 0.045739410999754086, 'kl_beta': 0.10132361763562202, 'grad_norm': 0.5904002785682678}
{'step': 555, 'reward': 0.123046875, 'group_hit': 0.75, 'pg': -0.0030034296214580536, 'kl': 0.03875160962343216, 'kl_ema': 0.04428067616080231, 'kl_beta': 0.10461332860329249, 'grad_norm': 0.9518006443977356}
{'step': 560, 'reward': 0.103515625, 'group_hit': 0.71875, 'pg': -0.002802216913551092, 'kl': 0.045426931232213974, 'kl_ema': 0.04310398860506519, 'kl_beta': 0.10651290525528789, 'grad_norm': 0.5829233527183533}
{'step': 565, 'reward': 0.123046875, 'group_hit': 0.8125, 'pg': -0.0097358962520957, 'kl': 0.032244496047496796, 'kl_ema': 0.04128710940217763, 'kl_beta': 0.10786946267053346, 'grad_norm': 0.6618022322654724}
