before {'accuracy': 0.044921875, 'correct_probability': 0.09788074158132076}
{'step': 595, 'reward': 0.111328125, 'group_hit': 0.75, 'pg': -0.02448459342122078, 'kl': 0.04692012071609497, 'grad_norm': 0.5577521324157715}
{'step': 600, 'reward': 0.130859375, 'group_hit': 0.875, 'pg': -0.007282828912138939, 'kl': 0.03831586614251137, 'grad_norm': 0.6997354626655579}
{'step': 605, 'reward': 0.15234375, 'group_hit': 0.90625, 'pg': -0.02454230561852455, 'kl': 0.04712416231632233, 'grad_norm': 0.6616201400756836}
{'step': 610, 'reward': 0.12109375, 'group_hit': 0.78125, 'pg': -0.013302728533744812, 'kl': 0.04736920818686485, 'grad_norm': 0.6175986528396606}
{'step': 615, 'reward': 0.123046875, 'group_hit': 0.75, 'pg': -0.007768033072352409, 'kl': 0.07059601694345474, 'grad_norm': 0.7424425482749939}
{'step': 620, 'reward': 0.15234375, 'group_hit': 0.90625, 'pg': -0.015332808718085289, 'kl': 0.04863302409648895, 'grad_norm': 0.6032428741455078}
{'step': 625, 'reward': 0.111328125, 'group_hit': 0.71875, 'pg': -0.006152261979877949, 'kl': 0.031242650002241135, 'grad_norm': 0.6764041185379028}
{'step': 630, 'reward': 0.09765625, 'group_hit': 0.71875, 'pg': -0.008352097123861313, 'kl': 0.034902505576610565, 'grad_norm': 0.5457667112350464}
{'step': 635, 'reward': 0.13671875, 'group_hit': 0.78125, 'pg': -0.008473947644233704, 'kl': 0.050123609602451324, 'grad_norm': 0.6454333662986755}
{'step': 640, 'reward': 0.14453125, 'group_hit': 0.9375, 'pg': -0.02050035074353218, 'kl': 0.03811568021774292, 'grad_norm': 0.667573094367981}
{'step': 645, 'reward': 0.134765625, 'group_hit': 0.875, 'pg': -0.012872736901044846, 'kl': 0.025997312739491463, 'grad_norm': 0.752328097820282}
{'step': 650, 'reward': 0.119140625, 'group_hit': 0.875, 'pg': -0.01978679932653904, 'kl': 0.062396809458732605, 'grad_norm': 0.6006499528884888}
{'step': 655, 'reward': 0.1171875, 'group_hit': 0.8125, 'pg': -0.013628073036670685, 'kl': 0.045917291194200516, 'grad_norm': 0.5648594498634338}
{'step': 660, 'reward': 0.130859375, 'group_hit': 0.9375, 'pg': -0.009898648597300053, 'kl': 0.033398039638996124, 'grad_norm': 0.6287733316421509}
{'step': 665, 'reward': 0.0859375, 'group_hit': 0.6875, 'pg': 0.0002172384411096573, 'kl': 0.06249092519283295, 'grad_norm': 0.5062902569770813}
{'step': 670, 'reward': 0.1015625, 'group_hit': 0.90625, 'pg': -0.006789622828364372, 'kl': 0.03625515103340149, 'grad_norm': 0.4426786005496979}
{'step': 675, 'reward': 0.107421875, 'group_hit': 0.78125, 'pg': -0.014669191092252731, 'kl': 0.039714448153972626, 'grad_norm': 0.4622902274131775}
